120.0,0,他建立了一个国家前所未有的尊严，他给了一个族群挺立千秋的自信，他的国号成了一个民族永远的名字！明犯强汉者，虽远必诛！,出版时间:2016年03月,长江文艺出版社,国际标准书号ISBN：9787535486004,历史,汉武大帝（全三册）（长篇历史小说经典书系）,小说,杨焕亭,109.8,http://img3m5.ddimg.cn/24/25/23912385-1_w_2.jpg,5ee96bec360d930a489db224
48.0,0,渴望自由的宫中囚鸟，一代帝王的命运沉浮。一部充满魔幻与传奇色彩的新历史小说，一场反抗个体孤独的盛大逃亡。命运似乎更像一个圆圈，周而复始地上演着同样悲剧。2019年精装典藏版，苏童亲写新序推荐！,出版时间:2019年03月,浙江人民出版社,国际标准书号ISBN：9787213090769,历史,我的帝王生涯（茅盾文学奖得主苏童长篇小说代表作）,小说,苏童磨铁图书,42.9,http://img3m7.ddimg.cn/56/29/26512157-1_w_2.jpg,5ee96bed360d930a489db225
768.0,0,随书附赠精美御笔书签；经反复编校核验新版本修改错误百余处更近乎完美。,出版时间:2018年11月,长江文艺出版社,国际标准书号ISBN：9787535481191,历史,二月河文集彩插珍藏版-18年全新修订版（套装全十三册）,小说,二月河,702.7,http://img3m9.ddimg.cn/88/14/26435959-1_w_5.jpg,5ee96bee360d930a489db226
359.4,0,讲透中国传统商人生存之道的至高经典！从店伙计到大清首富花了30年，从首富到倾家荡产只花了3天！经商的看到生存的安全边界，从政的看到权力的雷区所在！翻开本书，了解一代商圣的天才与宿命！读客熊猫君出品,出版时间:2020年02月,文汇出版社,国际标准书号ISBN：25269208,历史,红顶商人胡雪岩（套装全6册）（新老版本交替发货）（讲透中国传统商人生存之道的至高经典！经商的看到安全边界，从政的看到权力雷区！）,小说,高阳读客文化,352.2,http://img3m8.ddimg.cn/52/21/25269208-1_w_9.jpg,5ee96bef360d930a489db227
188.0,0,欧美读者平均3个通宵读完！《巨人的陨落》作者肯·福莱特里程碑式代表作，平均每年销量100万册，世界各国持续畅销26年！这部小说让每个人知道，我们有能力越过世俗，触及永恒。读客熊猫君出品,出版时间:2018年07月,江苏凤凰文艺出版社,国际标准书号ISBN：9787559420602,历史,圣殿春秋（套装全3册）(爱伦·坡终身大师奖得主、通宵小说大师肯·福莱特中世纪三部曲开篇之作，欧美读者平均3个通宵读完！）,小说,肯·福莱特Follett胡允桓读客文化,184.2,http://img3m8.ddimg.cn/13/26/25307878-1_w_4.jpg,5ee96bf0360d930a489db228
98.0,0,（大明王朝一场惊心动魄的打虎大戏！《雍正王朝》编剧、《北平无战事》作者刘和平代表作，揭秘中国传统政治儒道互补的运作规律）,出版时间:2018年07月,花城出版社,国际标准书号ISBN：9787536079113,历史,大明王朝1566,小说,刘和平,98.0,http://img3m3.ddimg.cn/74/8/25573853-1_w_6.jpg,5ee96bf1360d930a489db229
132.0,0,每三秒卖出一本！全球读者平均3个通宵读完，和主人公一起横穿二战！《巨人的陨落》续篇！火遍全球的20世纪人类史诗“世纪三部曲”第二部。我亲眼目睹，每一个迈向死亡的生命都在热烈地生长。读客熊猫君出品,出版时间:2017年02月,江苏文艺出版社,国际标准书号ISBN：9787539999074,历史,世界的凛冬（套装全3册）（通宵小说大师肯·福莱特世纪三部曲，全球读者平均3个通宵读完，和主人公一起横穿二战！）,小说,肯·福莱特Follett读客文化,129.4,http://img3m2.ddimg.cn/53/15/24182882-1_w_7.jpg,5ee96bf4360d930a489db22a
32.0,0,,出版时间:2014年01月,北京十月文艺出版社,国际标准书号ISBN：9787530213230,历史,孔子（日本文学大师井上靖毕生压轴杰作，获野间文艺奖，被誉为“历史小说明珠”）,小说,井上靖刘慕沙,32.0,http://img3m8.ddimg.cn/62/26/23381288-1_w_2.jpg,5ee96bf5360d930a489db22b
598.0,0,（经典6部11卷，2019作者亲自修订。国画名家戴敦邦、戴红倩父子倾力题绘，古风插图精美呈现。谋略不下《三国演义》，悲壮超越《罗马帝国衰亡史》，同名热播电视剧再掀阅读风潮。）,出版时间:2019年04月,上海人民出版社,国际标准书号ISBN：9787208152472,历史,大秦帝国 : 全新插图珍藏版,小说,孙皓晖,572.6,http://img3m2.ddimg.cn/25/17/26924362-1_w_3.jpg,5ee96bf6360d930a489db22c
129.8,0,全球读者平均3个通宵读完，和主人公一起横穿一战！全球每3秒卖出一本！十年来，横扫欧美16国排行榜的超级小说。碾压全球畅销榜的伟大故事，18次登上10国畅销榜第1名！首次登陆中国！读客熊猫君出品,出版时间:2016年04月,江苏文艺出版社,国际标准书号ISBN：9787539989891,历史,巨人的陨落（套装共3册）（通宵小说大师肯·福莱特世纪三部曲，全球读者平均三个通宵读完，和主人公一起横穿一战！）,小说,肯·福莱特读客文化,127.2,http://img3m4.ddimg.cn/26/10/23951294-1_w_26.jpg,5ee96bf7360d930a489db22d
